product_id,title,SKU,price,created_at,stock_quantity
7484588163146,Cropped Essential Navarro blue,CRO-405-M,249.00,27/02/2024,3
7484588163146,Cropped Essential Navarro blue,CRO-405-P,249.00,27/02/2024,2
7237653168202,Cropped Essential Nude,CRO-119-G,249.00,10/08/2023,6
7237653168202,Cropped Essential Nude,CRO-119-M,249.00,10/08/2023,1
7237653168202,Cropped Essential Nude,CRO-119-P,249.00,10/08/2023,20
7484587966538,Cropped Essential Off White,CRO-404-G,249.00,27/02/2024,0
7484587966538,Cropped Essential Off White,CRO-404-M,249.00,27/02/2024,0
7484587966538,Cropped Essential Off White,CRO-404-P,249.00,27/02/2024,2
6710308831306,Cropped Essential Preto,CRO-ESS-PRE-G,249.00,17/11/2021,4
6710308831306,Cropped Essential Preto,CRO-ESS-PRE-M,249.00,17/11/2021,8
6710308831306,Cropped Essential Preto,CRO-ESS-PRE-P,249.00,17/11/2021,6
7237763956810,Cropped Over Moletom Off White,CRO-130-G,299.90,10/08/2023,0
7237763956810,Cropped Over Moletom Off White,CRO-130-M,299.90,10/08/2023,1
7237763956810,Cropped Over Moletom Off White,CRO-130-P,299.90,10/08/2023,0
7237763694666,Cropped Over Moletom Preto,CRO-129-G,299.90,10/08/2023,0
7237763694666,Cropped Over Moletom Preto,CRO-129-M,299.90,10/08/2023,2
7237763694666,Cropped Over Moletom Preto,CRO-129-P,299.90,10/08/2023,0
7416362958922,DustBag 25x30,7898675068233,0.00,29/11/2023,0
7782189957194,Dusty Bag para tênis,DUS-512,0.00,02/09/2024,0
7787496210506,Envelope 70x50 Cinza/Eco 1UN,ENV-514,0.00,12/09/2024,0
6687221153866,,BR32X40,,25/09/2024,0
6687221153866,,BR40X50KIT1VA,,25/09/2024,0
6687221153866,,BR90X60KIT1VA,,25/09/2024,0
7545207816266,Fita Adesiva Fundo Colorido Personalizada 48mm x 100m,FIT-452,0.00,04/04/2024,0
7414746873930,Ghost Panties - Black,GHO-172-G,59.00,27/11/2023,4
7414746873930,Ghost Panties - Black,GHO-172-M,59.00,27/11/2023,10
7414746873930,Ghost Panties - Black,GHO-172-P,59.00,27/11/2023,3
7414746611786,Ghost Panties - Skin,GHO-171-G,59.00,27/11/2023,3
7414746611786,Ghost Panties - Skin,GHO-171-M,59.00,27/11/2023,5
7414746611786,Ghost Panties - Skin,GHO-171-P,59.00,27/11/2023,11
7414746906698,Ghost Panties - White,GHO-173-G,59.00,27/11/2023,12
7414746906698,Ghost Panties - White,GHO-173-M,59.00,27/11/2023,6
7414746906698,Ghost Panties - White,GHO-173-P,59.00,27/11/2023,3
7237764284490,HeadBand Chase Off White,HEA-132-P,49.90,10/08/2023,4
7254954901578,HeadBand Chase Preto,HEA-139-U,49.90,30/08/2023,4
7775724404810,Jacket Blow Baby Blue,JAC-504-G,589.00,19/08/2024,0
7775724404810,Jacket Blow Baby Blue,JAC-504-M,589.00,19/08/2024,0
7775724404810,Jacket Blow Baby Blue,JAC-504-P,589.00,19/08/2024,0
6687221153866,,25405327001745,,25/09/2024,0
7722645323850,Jacket Blow Black,JAC-478-G,589.00,21/06/2024,1
7722645323850,Jacket Blow Black,JAC-478-M,589.00,21/06/2024,4
7722645323850,Jacket Blow Black,JAC-478-P,589.00,21/06/2024,3
6687221153866,,25405327001749,,25/09/2024,0
7722647289930,Jacket Blow Caramel,JAC-479-G,589.00,21/06/2024,3
7722647289930,Jacket Blow Caramel,JAC-479-M,589.00,21/06/2024,5
7722647289930,Jacket Blow Caramel,JAC-479-P,589.00,21/06/2024,1
6687221153866,,25405327001753,,25/09/2024,0
7722647748682,Jacket Blow Off White,JAC-480-G,589.00,21/06/2024,2
7722647748682,Jacket Blow Off White,JAC-480-M,589.00,21/06/2024,2
7722647748682,Jacket Blow Off White,JAC-480-P,589.00,21/06/2024,2
7237763498058,Jaqueta Puffer One Branco,PUF-128-G,699.90,10/08/2023,0
7237763498058,Jaqueta Puffer One Branco,PUF-128-M,699.90,10/08/2023,1
7237763498058,Jaqueta Puffer One Branco,PUF-128-P,699.90,10/08/2023,0
